time_iso8601,stars_cumulative
2022-07-29 00:00:00+00:00,76
2022-07-30 00:00:00+00:00,77
2022-08-01 00:00:00+00:00,78
2022-08-05 00:00:00+00:00,80
2022-08-06 00:00:00+00:00,81
2022-08-08 00:00:00+00:00,84
2022-08-12 00:00:00+00:00,85
2022-08-16 00:00:00+00:00,86
2022-08-17 00:00:00+00:00,101
2022-08-18 00:00:00+00:00,105
2022-08-19 00:00:00+00:00,107
2022-08-22 00:00:00+00:00,111
2022-08-25 00:00:00+00:00,112
2022-08-26 00:00:00+00:00,113
2022-08-30 00:00:00+00:00,115
2022-09-03 00:00:00+00:00,116
2022-09-05 00:00:00+00:00,117
2022-09-06 00:00:00+00:00,118
2022-09-08 00:00:00+00:00,119
2022-09-15 00:00:00+00:00,120
2022-09-16 00:00:00+00:00,121
2022-09-21 00:00:00+00:00,122
2022-09-23 00:00:00+00:00,123
2022-09-28 00:00:00+00:00,124
2022-09-29 00:00:00+00:00,125
2022-10-02 00:00:00+00:00,126
2022-10-05 00:00:00+00:00,127
2022-10-06 00:00:00+00:00,128
2022-10-18 00:00:00+00:00,129
2022-10-19 00:00:00+00:00,130
2022-10-20 00:00:00+00:00,131
2022-10-21 00:00:00+00:00,132
2022-10-25 00:00:00+00:00,133
2022-10-27 00:00:00+00:00,134
2022-11-02 00:00:00+00:00,136
2022-11-16 00:00:00+00:00,137
2022-11-17 00:00:00+00:00,138
2022-11-18 00:00:00+00:00,140
2022-11-23 00:00:00+00:00,141
2022-11-27 00:00:00+00:00,142
2022-11-30 00:00:00+00:00,143
2022-12-01 00:00:00+00:00,144
2022-12-05 00:00:00+00:00,145
2022-12-06 00:00:00+00:00,146
2022-12-10 00:00:00+00:00,147
2022-12-20 00:00:00+00:00,148
2022-12-22 00:00:00+00:00,149
2022-12-23 00:00:00+00:00,150
2022-12-27 00:00:00+00:00,151
2023-01-03 00:00:00+00:00,152
2023-01-04 00:00:00+00:00,153
2023-01-07 00:00:00+00:00,154
2023-01-08 00:00:00+00:00,155
2023-01-11 00:00:00+00:00,156
2023-01-13 00:00:00+00:00,157
2023-01-16 00:00:00+00:00,158
2023-01-17 00:00:00+00:00,161
2023-01-19 00:00:00+00:00,163
2023-01-25 00:00:00+00:00,164
2023-01-26 00:00:00+00:00,165
2023-02-01 00:00:00+00:00,166
2023-02-02 00:00:00+00:00,167
2023-02-07 00:00:00+00:00,170
2023-02-09 00:00:00+00:00,171
2023-02-10 00:00:00+00:00,172
2023-02-12 00:00:00+00:00,174
2023-02-15 00:00:00+00:00,175
2023-02-17 00:00:00+00:00,176
2023-02-18 00:00:00+00:00,177
2023-02-19 00:00:00+00:00,178
2023-02-22 00:00:00+00:00,179
2023-02-24 00:00:00+00:00,180
2023-02-26 00:00:00+00:00,181
2023-02-27 00:00:00+00:00,184
2023-03-01 00:00:00+00:00,185
2023-03-03 00:00:00+00:00,186
2023-03-05 00:00:00+00:00,187
2023-03-06 00:00:00+00:00,188
2023-03-07 00:00:00+00:00,189
2023-03-08 00:00:00+00:00,190
2023-03-09 00:00:00+00:00,191
2023-03-10 00:00:00+00:00,192
2023-03-13 00:00:00+00:00,193
2023-03-14 00:00:00+00:00,194
2023-03-20 00:00:00+00:00,195
2023-03-22 00:00:00+00:00,196
2023-03-23 00:00:00+00:00,197
2023-03-24 00:00:00+00:00,198
2023-03-26 00:00:00+00:00,199
2023-03-28 00:00:00+00:00,201
2023-03-29 00:00:00+00:00,202
2023-04-01 00:00:00+00:00,203
2023-04-04 00:00:00+00:00,204
2023-04-07 00:00:00+00:00,205
2023-04-17 00:00:00+00:00,206
2023-04-19 00:00:00+00:00,207
2023-04-21 00:00:00+00:00,208
2023-04-24 00:00:00+00:00,210
2023-04-25 00:00:00+00:00,211
2023-04-27 00:00:00+00:00,213
2023-04-29 00:00:00+00:00,214
2023-05-03 00:00:00+00:00,215
2023-05-04 00:00:00+00:00,216
2023-05-05 00:00:00+00:00,217
2023-05-08 00:00:00+00:00,218
2023-05-09 00:00:00+00:00,219
2023-05-15 00:00:00+00:00,220
2023-05-18 00:00:00+00:00,221
2023-05-30 00:00:00+00:00,225
2023-06-01 00:00:00+00:00,226
2023-06-04 00:00:00+00:00,227
2023-06-08 00:00:00+00:00,228
2023-06-09 00:00:00+00:00,230
2023-06-10 00:00:00+00:00,231
2023-06-14 00:00:00+00:00,233
2023-06-16 00:00:00+00:00,234
2023-06-17 00:00:00+00:00,235
2023-06-20 00:00:00+00:00,236
2023-06-21 00:00:00+00:00,237
2023-06-22 00:00:00+00:00,238
2023-06-27 00:00:00+00:00,239
2023-06-29 00:00:00+00:00,241
2023-06-30 00:00:00+00:00,242
2023-07-11 00:00:00+00:00,244
2023-07-12 00:00:00+00:00,246
2023-07-13 00:00:00+00:00,249
2023-07-14 00:00:00+00:00,250
2023-07-15 00:00:00+00:00,251
2023-07-20 00:00:00+00:00,252
2023-07-22 00:00:00+00:00,253
2023-07-26 00:00:00+00:00,254
2023-07-27 00:00:00+00:00,255
2023-07-29 00:00:00+00:00,256
2023-07-30 00:00:00+00:00,257
2023-08-01 00:00:00+00:00,258
2023-08-03 00:00:00+00:00,259
2023-08-14 00:00:00+00:00,261
2023-08-17 00:00:00+00:00,263
2023-08-18 00:00:00+00:00,264
2023-08-21 00:00:00+00:00,265
2023-08-23 00:00:00+00:00,266
2023-08-24 00:00:00+00:00,267
2023-08-26 00:00:00+00:00,268
2023-08-27 00:00:00+00:00,269
2023-09-06 00:00:00+00:00,270
2023-09-08 00:00:00+00:00,271
2023-09-14 00:00:00+00:00,272
2023-09-16 00:00:00+00:00,273
2023-09-17 00:00:00+00:00,274
2023-09-18 00:00:00+00:00,275
2023-09-24 00:00:00+00:00,286
2023-09-25 00:00:00+00:00,296
2023-09-26 00:00:00+00:00,299
2023-09-27 00:00:00+00:00,306
2023-09-28 00:00:00+00:00,324
2023-09-29 00:00:00+00:00,329
2023-10-02 00:00:00+00:00,331
2023-10-03 00:00:00+00:00,333
2023-10-05 00:00:00+00:00,334
2023-10-10 00:00:00+00:00,335
2023-10-11 00:00:00+00:00,338
2023-10-12 00:00:00+00:00,339
2023-10-16 00:00:00+00:00,341
2023-10-17 00:00:00+00:00,342
2023-10-18 00:00:00+00:00,343
2023-10-23 00:00:00+00:00,344
2023-10-25 00:00:00+00:00,345
2023-10-27 00:00:00+00:00,348
2023-10-28 00:00:00+00:00,349
2023-11-01 00:00:00+00:00,351
2023-11-02 00:00:00+00:00,352
2023-11-03 00:00:00+00:00,353
2023-11-09 00:00:00+00:00,354
2023-11-11 00:00:00+00:00,355
2023-11-19 00:00:00+00:00,356
2023-11-20 00:00:00+00:00,358
2023-11-22 00:00:00+00:00,359
2023-11-23 00:00:00+00:00,360
2023-11-24 00:00:00+00:00,362
2023-11-25 00:00:00+00:00,363
2023-11-27 00:00:00+00:00,364
2023-11-29 00:00:00+00:00,365
2023-12-02 00:00:00+00:00,366
2023-12-06 00:00:00+00:00,367
2023-12-08 00:00:00+00:00,368
2023-12-11 00:00:00+00:00,369
2023-12-12 00:00:00+00:00,372
2023-12-13 00:00:00+00:00,373
2023-12-14 00:00:00+00:00,374
2023-12-18 00:00:00+00:00,375
2023-12-21 00:00:00+00:00,376
2024-01-05 00:00:00+00:00,377
2024-01-07 00:00:00+00:00,378
2024-01-09 00:00:00+00:00,379
2024-01-17 00:00:00+00:00,381
2024-01-18 00:00:00+00:00,383
2024-01-20 00:00:00+00:00,384
2024-01-23 00:00:00+00:00,385
2024-01-30 00:00:00+00:00,386
2024-02-06 00:00:00+00:00,388
2024-02-07 00:00:00+00:00,390
2024-02-09 00:00:00+00:00,391
2024-02-14 00:00:00+00:00,392
2024-02-19 00:00:00+00:00,397
2024-02-20 00:00:00+00:00,403
2024-02-21 00:00:00+00:00,404
2024-02-22 00:00:00+00:00,415
2024-02-23 00:00:00+00:00,425
2024-02-25 00:00:00+00:00,427
2024-02-26 00:00:00+00:00,428
2024-02-27 00:00:00+00:00,429
2024-02-28 00:00:00+00:00,430
2024-02-29 00:00:00+00:00,432
2024-03-01 00:00:00+00:00,433
2024-03-02 00:00:00+00:00,434
2024-03-05 00:00:00+00:00,435
2024-03-06 00:00:00+00:00,436
2024-03-07 00:00:00+00:00,439
2024-03-12 00:00:00+00:00,440
2024-03-18 00:00:00+00:00,441
2024-03-19 00:00:00+00:00,442
2024-03-21 00:00:00+00:00,443
2024-03-22 00:00:00+00:00,444
2024-03-25 00:00:00+00:00,445
2024-03-26 00:00:00+00:00,446
2024-04-08 00:00:00+00:00,447
2024-04-11 00:00:00+00:00,448
2024-04-12 00:00:00+00:00,449
2024-04-16 00:00:00+00:00,451
2024-04-17 00:00:00+00:00,452
2024-04-19 00:00:00+00:00,453
2024-04-22 00:00:00+00:00,454
2024-04-24 00:00:00+00:00,455
2024-04-25 00:00:00+00:00,457
2024-04-27 00:00:00+00:00,458
2024-05-07 00:00:00+00:00,459
2024-05-08 00:00:00+00:00,460
2024-05-10 00:00:00+00:00,461
2024-05-15 00:00:00+00:00,462
2024-05-16 00:00:00+00:00,464
2024-05-17 00:00:00+00:00,465
2024-05-20 00:00:00+00:00,466
2024-05-24 00:00:00+00:00,468
2024-05-28 00:00:00+00:00,470
2024-05-29 00:00:00+00:00,471
2024-06-04 00:00:00+00:00,473
2024-06-05 00:00:00+00:00,474
2024-06-07 00:00:00+00:00,476
2024-06-11 00:00:00+00:00,479
2024-06-13 00:00:00+00:00,480
2024-06-14 00:00:00+00:00,481
2024-06-17 00:00:00+00:00,482
2024-06-19 00:00:00+00:00,483
2024-06-20 00:00:00+00:00,484
2024-06-24 00:00:00+00:00,486
2024-06-26 00:00:00+00:00,489
2024-06-29 00:00:00+00:00,490
2024-06-30 00:00:00+00:00,491
2024-07-01 00:00:00+00:00,492
2024-07-03 00:00:00+00:00,493
2024-07-07 00:00:00+00:00,494
2024-07-08 00:00:00+00:00,496
2024-07-10 00:00:00+00:00,497
2024-07-19 00:00:00+00:00,498
2024-07-20 00:00:00+00:00,499
2024-07-25 00:00:00+00:00,500
2024-07-31 00:00:00+00:00,501
2024-08-10 00:00:00+00:00,502
2024-08-14 00:00:00+00:00,504
2024-08-22 00:00:00+00:00,505
2024-08-23 00:00:00+00:00,508
2024-08-24 00:00:00+00:00,510
2024-08-26 00:00:00+00:00,513
2024-09-09 00:00:00+00:00,514
2024-09-12 00:00:00+00:00,516
2024-09-13 00:00:00+00:00,517
2024-09-17 00:00:00+00:00,518
2024-09-19 00:00:00+00:00,519
2024-09-21 00:00:00+00:00,520
2024-09-23 00:00:00+00:00,521
2024-09-25 00:00:00+00:00,522
2024-09-26 00:00:00+00:00,523
2024-09-27 00:00:00+00:00,524
2024-09-29 00:00:00+00:00,525
2024-10-01 00:00:00+00:00,526
2024-10-04 00:00:00+00:00,528
2024-10-08 00:00:00+00:00,529
2024-10-09 00:00:00+00:00,530
2024-10-10 00:00:00+00:00,531
2024-10-13 00:00:00+00:00,532
2024-10-15 00:00:00+00:00,533
2024-10-29 00:00:00+00:00,534
2024-10-30 00:00:00+00:00,535
2024-11-02 00:00:00+00:00,536
2024-11-05 00:00:00+00:00,537
2024-11-06 00:00:00+00:00,539
2024-11-07 00:00:00+00:00,540
2024-11-10 00:00:00+00:00,541
