referrer,views_total,views_unique
Google,407,112
t.co,264,117
statics.teams.cdn.office.net,78,18
github.com,63,22
aws.amazon.com,30,10
maturitymodel.security.aws.dev,26,12
mail.google.com,26,8
com.google.android.gm,26,8
cloudseclist.com,23,8
DuckDuckGo,17,4
