referrer,views_total,views_unique
Google,229,74
maturitymodel.security.aws.dev,79,21
statics.teams.cdn.office.net,51,21
github.com,41,16
aws.amazon.com,35,9
Bing,26,4
t.co,12,5
jira.ulalaunch.com,10,2
pages.awscloud.com,8,3
visawiki.trusted.visa.com,8,2
