referrer,views_total,views_unique
Google,171,80
app.gotowebinar.com,82,51
maturitymodel.security.aws.dev,67,18
github.com,33,21
tmc-ccoe.atlassian.net,12,4
pages.awscloud.com,10,2
linkedin.com,7,2
wiki.kbobjects.com,6,3
statics.teams.cdn.office.net,5,3
foreflight.atlassian.net,4,2
