referrer,views_total,views_unique
Google,296,128
aws.amazon.com,73,17
maturitymodel.security.aws.dev,70,17
github.com,63,17
t.co,39,17
statics.teams.cdn.office.net,27,11
conf.s.cec.eu.int,10,1
Bing,9,7
mail.google.com,8,2
DuckDuckGo,6,3
