time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-18 00:00:00+00:00,3,3,31,13
2023-03-19 00:00:00+00:00,4,4,28,19
2023-03-20 00:00:00+00:00,8,7,192,78
2023-03-21 00:00:00+00:00,4,4,166,60
2023-03-22 00:00:00+00:00,3,3,133,68
2023-03-23 00:00:00+00:00,6,5,264,82
2023-03-24 00:00:00+00:00,4,4,181,73
2023-03-25 00:00:00+00:00,3,3,53,14
2023-03-26 00:00:00+00:00,3,3,62,25
2023-03-27 00:00:00+00:00,5,5,186,89
2023-03-28 00:00:00+00:00,3,3,284,93
2023-03-29 00:00:00+00:00,6,5,214,97
2023-03-30 00:00:00+00:00,3,3,174,80
2023-03-31 00:00:00+00:00,2,2,116,58
