time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-21 00:00:00+00:00,10,6,439,93
2024-05-22 00:00:00+00:00,14,8,311,84
2024-05-23 00:00:00+00:00,5,5,378,94
2024-05-24 00:00:00+00:00,10,6,227,69
2024-05-25 00:00:00+00:00,4,4,823,14
2024-05-26 00:00:00+00:00,4,4,593,26
2024-05-27 00:00:00+00:00,8,5,275,68
2024-05-28 00:00:00+00:00,5,5,834,114
2024-05-29 00:00:00+00:00,11,7,595,87
2024-05-30 00:00:00+00:00,4,4,465,95
2024-05-31 00:00:00+00:00,10,6,493,96
2024-06-01 00:00:00+00:00,4,4,575,53
2024-06-02 00:00:00+00:00,4,4,696,38
2024-06-03 00:00:00+00:00,3,3,351,84
