url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,250,160
/aws-samples/aws-customer-playbook-framework/tree/main/docs,134,81
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,96,73
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,43,30
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,42,36
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,21,20
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,18,14
/aws-samples/aws-customer-playbook-framework/tree/main/docs/es,18,10
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,17,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,15,13
