time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-01 00:00:00+00:00,3,3,429,78
2024-04-02 00:00:00+00:00,3,3,441,103
2024-04-03 00:00:00+00:00,5,5,450,86
2024-04-04 00:00:00+00:00,2,2,417,83
2024-04-05 00:00:00+00:00,3,3,359,85
2024-04-06 00:00:00+00:00,3,3,493,26
2024-04-07 00:00:00+00:00,3,3,235,27
2024-04-08 00:00:00+00:00,2,2,313,74
2024-04-09 00:00:00+00:00,5,4,368,95
2024-04-10 00:00:00+00:00,6,6,350,81
2024-04-11 00:00:00+00:00,4,4,517,99
2024-04-12 00:00:00+00:00,5,4,306,77
2024-04-13 00:00:00+00:00,5,4,237,23
2024-04-14 00:00:00+00:00,3,3,182,18
