url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework/tree/main/docs,497,151
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,400,128
/aws-samples/aws-customer-playbook-framework,389,311
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,151,59
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_S3.md,134,43
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,124,44
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,119,43
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,111,36
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,98,26
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,97,37
