time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,12,9,188,81
2025-12-10 00:00:00+00:00,8,8,162,77
2025-12-11 00:00:00+00:00,5,5,208,71
2025-12-12 00:00:00+00:00,5,5,80,46
2025-12-13 00:00:00+00:00,15,7,62,15
2025-12-14 00:00:00+00:00,11,6,85,33
2025-12-15 00:00:00+00:00,13,10,147,65
2025-12-16 00:00:00+00:00,11,7,107,43
2025-12-17 00:00:00+00:00,5,5,108,56
2025-12-18 00:00:00+00:00,9,5,105,52
2025-12-19 00:00:00+00:00,14,14,77,44
2025-12-20 00:00:00+00:00,14,6,47,13
2025-12-21 00:00:00+00:00,16,8,74,18
2025-12-22 00:00:00+00:00,4,4,91,39
