time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,4,3,605,38
2025-03-24 00:00:00+00:00,6,5,214,76
2025-03-25 00:00:00+00:00,5,5,228,97
2025-03-26 00:00:00+00:00,7,5,236,75
2025-03-27 00:00:00+00:00,7,6,243,76
2025-03-28 00:00:00+00:00,10,7,244,69
2025-03-29 00:00:00+00:00,10,7,799,20
2025-03-30 00:00:00+00:00,8,5,875,32
2025-03-31 00:00:00+00:00,8,7,359,87
2025-04-01 00:00:00+00:00,6,6,203,85
2025-04-02 00:00:00+00:00,4,4,211,88
2025-04-03 00:00:00+00:00,7,5,298,88
2025-04-04 00:00:00+00:00,10,6,241,69
2025-04-05 00:00:00+00:00,3,3,910,21
