time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-29 00:00:00+00:00,11,3,198,75
2025-07-30 00:00:00+00:00,18,9,166,66
2025-07-31 00:00:00+00:00,17,9,171,64
2025-08-01 00:00:00+00:00,24,10,200,51
2025-08-02 00:00:00+00:00,16,10,188,29
2025-08-03 00:00:00+00:00,21,7,296,22
2025-08-04 00:00:00+00:00,30,13,284,64
2025-08-05 00:00:00+00:00,57,14,238,57
2025-08-06 00:00:00+00:00,13,6,227,77
2025-08-07 00:00:00+00:00,21,5,140,65
2025-08-08 00:00:00+00:00,11,5,174,58
2025-08-09 00:00:00+00:00,13,5,198,19
2025-08-10 00:00:00+00:00,12,6,225,19
2025-08-11 00:00:00+00:00,5,4,257,54
