time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-11 00:00:00+00:00,5,4,195,71
2023-05-12 00:00:00+00:00,5,4,113,62
2023-05-13 00:00:00+00:00,8,6,29,7
2023-05-14 00:00:00+00:00,6,5,36,13
2023-05-15 00:00:00+00:00,8,6,231,73
2023-05-16 00:00:00+00:00,8,7,170,75
2023-05-17 00:00:00+00:00,7,6,267,72
2023-05-18 00:00:00+00:00,6,5,185,65
2023-05-19 00:00:00+00:00,9,7,156,61
2023-05-20 00:00:00+00:00,5,4,25,8
2023-05-21 00:00:00+00:00,8,6,64,27
2023-05-22 00:00:00+00:00,8,7,115,54
2023-05-23 00:00:00+00:00,5,4,187,68
2023-05-24 00:00:00+00:00,2,2,240,74
