url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,576,211
/aws-samples/aws-customer-playbook-framework/tree/main/docs,276,211
/aws-samples/aws-customer-playbook-framework/pulls,229,15
/aws-samples/aws-customer-playbook-framework/forks,159,12
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,109,80
/aws-samples/aws-customer-playbook-framework/issues,72,13
/aws-samples/aws-customer-playbook-framework/graphs/commit-activity,68,12
/aws-samples/aws-customer-playbook-framework/stargazers,62,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,56,52
/aws-samples/aws-customer-playbook-framework/blob/main/LICENSE,38,11
