time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-17 00:00:00+00:00,12.0,6.0,201,35
2025-08-18 00:00:00+00:00,11.0,5.0,203,73
2025-08-19 00:00:00+00:00,19.0,10.0,167,40
2025-08-20 00:00:00+00:00,12.0,6.0,134,55
2025-08-21 00:00:00+00:00,15.0,9.0,149,56
2025-08-22 00:00:00+00:00,16.0,8.0,90,48
2025-08-23 00:00:00+00:00,16.0,10.0,132,21
2025-08-24 00:00:00+00:00,14.0,8.0,157,24
2025-08-25 00:00:00+00:00,9.0,8.0,143,44
2025-08-26 00:00:00+00:00,14.0,8.0,129,58
2025-08-27 00:00:00+00:00,11.0,5.0,336,78
2025-08-28 00:00:00+00:00,16.0,8.0,165,57
2025-08-29 00:00:00+00:00,15.0,8.0,161,56
2025-08-30 00:00:00+00:00,,,118,20
