time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-08 00:00:00+00:00,5,4,479,87
2023-08-09 00:00:00+00:00,3,3,439,94
2023-08-10 00:00:00+00:00,5,4,251,71
2023-08-11 00:00:00+00:00,6,5,250,46
2023-08-12 00:00:00+00:00,5,4,47,13
2023-08-13 00:00:00+00:00,5,4,72,22
2023-08-14 00:00:00+00:00,7,6,327,72
2023-08-15 00:00:00+00:00,8,7,303,68
2023-08-16 00:00:00+00:00,6,5,320,71
2023-08-17 00:00:00+00:00,7,6,319,72
2023-08-18 00:00:00+00:00,7,6,323,63
2023-08-19 00:00:00+00:00,5,4,39,14
2023-08-20 00:00:00+00:00,9,8,39,17
2023-08-21 00:00:00+00:00,4,4,290,79
