url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,309,206
/aws-samples/aws-customer-playbook-framework/tree/main/docs,119,74
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,115,93
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,63,42
/aws-samples/aws-customer-playbook-framework/pulls,62,15
/aws-samples/aws-customer-playbook-framework/issues,44,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,36,29
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,36,27
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,34,25
/aws-samples/aws-customer-playbook-framework/tree/main,33,24
