url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,323,192
/aws-samples/aws-customer-playbook-framework/tree/main/docs,160,101
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,141,95
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,61,43
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,53,27
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,37,26
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Denial_of_Service.md,35,23
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,30,24
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,23,17
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,22,16
