referrer,views_total,views_unique
Google,512,116
github.com,153,18
maturitymodel.security.aws.dev,95,14
statics.teams.cdn.office.net,73,16
Bing,35,5
tasks.office.com,23,2
aws.amazon.com,22,9
pages.awscloud.com,17,3
t.co,15,6
amazon.webex.com,13,5
