referrer,views_total,views_unique
Google,285,131
github.com,41,15
DuckDuckGo,32,3
maturitymodel.security.aws.dev,31,15
aws.amazon.com,24,9
statics.teams.cdn.office.net,22,9
Bing,13,6
tmc-ccoe.atlassian.net,9,1
mail.google.com,8,2
usc-word-edit.officeapps.live.com,5,1
