time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-30 00:00:00+00:00,7,6,156,42
2023-07-01 00:00:00+00:00,6,5,78,9
2023-07-02 00:00:00+00:00,7,6,113,21
2023-07-03 00:00:00+00:00,6,5,198,70
2023-07-04 00:00:00+00:00,5,4,153,50
2023-07-05 00:00:00+00:00,5,4,146,52
2023-07-06 00:00:00+00:00,7,5,246,60
2023-07-07 00:00:00+00:00,5,4,243,48
2023-07-08 00:00:00+00:00,6,5,83,17
2023-07-09 00:00:00+00:00,5,4,57,8
2023-07-10 00:00:00+00:00,8,7,304,58
2023-07-11 00:00:00+00:00,5,4,430,81
2023-07-12 00:00:00+00:00,7,6,593,83
2023-07-13 00:00:00+00:00,2,2,341,65
