time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-13 00:00:00+00:00,3,3,50,10
2022-11-14 00:00:00+00:00,5,5,81,34
2022-11-15 00:00:00+00:00,3,3,64,32
2022-11-16 00:00:00+00:00,3,3,127,62
2022-11-17 00:00:00+00:00,3,3,102,44
2022-11-18 00:00:00+00:00,3,3,101,45
2022-11-19 00:00:00+00:00,3,3,22,8
2022-11-20 00:00:00+00:00,4,4,11,8
2022-11-21 00:00:00+00:00,3,3,115,45
2022-11-22 00:00:00+00:00,5,5,82,30
2022-11-23 00:00:00+00:00,3,3,73,36
2022-11-24 00:00:00+00:00,4,4,60,31
2022-11-25 00:00:00+00:00,3,3,52,30
2022-11-26 00:00:00+00:00,2,2,9,8
