time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,10,6,184,64
2026-01-21 00:00:00+00:00,27,10,96,46
2026-01-22 00:00:00+00:00,14,6,109,54
2026-01-23 00:00:00+00:00,11,7,100,54
2026-01-24 00:00:00+00:00,25,9,80,13
2026-01-25 00:00:00+00:00,14,6,63,21
2026-01-26 00:00:00+00:00,12,8,135,57
2026-01-27 00:00:00+00:00,20,12,285,82
2026-01-28 00:00:00+00:00,17,8,112,49
2026-01-29 00:00:00+00:00,24,6,176,62
2026-01-30 00:00:00+00:00,21,9,143,79
2026-01-31 00:00:00+00:00,7,3,72,25
2026-02-01 00:00:00+00:00,23,11,83,28
2026-02-02 00:00:00+00:00,28,14,199,75
