referrer,views_total,views_unique
Google,261,106
maturitymodel.security.aws.dev,75,26
aws.amazon.com,60,21
github.com,53,24
statics.teams.cdn.office.net,36,14
Bing,15,6
DuckDuckGo,13,6
quip-amazon.com,13,4
health.aws.amazon.com,4,1
wire.lgcns.com,4,1
