url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,288,201
/aws-samples/aws-customer-playbook-framework/tree/main/docs,112,81
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,82,61
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,38,21
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,37,19
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Playbook_Creation_Process.md,23,18
/aws-samples/aws-customer-playbook-framework/tree/main/docs/es,23,15
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Windows.md,22,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,16,15
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,16,11
