referrer,views_total,views_unique
Google,117,58
github.com,57,21
apg-library.amazonaws.com,37,8
maturitymodel.security.aws.dev,32,11
tmc-ccoe.atlassian.net,15,3
aws.amazon.com,11,2
inoreader.com,7,2
DuckDuckGo,6,3
pages.awscloud.com,4,2
t.co,2,2
