referrer,views_total,views_unique
linkedin.com,827,246
Google,742,204
com.linkedin.android,219,75
aws.amazon.com,219,39
github.com,94,23
t.co,82,21
cloudsec.cybr.com,70,1
maturitymodel.security.aws.dev,65,21
statics.teams.cdn.office.net,62,11
lnkd.in,46,11
