referrer,views_total,views_unique
Google,58,32
aws.amazon.com,23,7
statics.teams.cdn.office.net,22,9
github.com,20,14
maturitymodel.security.aws.dev,11,6
pages.awscloud.com,11,5
docs.aws.amazon.com,9,3
linkedin.com,6,2
mambucom.jira.com,5,2
v1.maturitymodel.security.aws.dev,4,1
