url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,296,151
/aws-samples/aws-customer-playbook-framework/tree/main/docs,114,76
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,98,74
/aws-samples/aws-customer-playbook-framework/pulls,90,16
/aws-samples/aws-customer-playbook-framework/issues,81,13
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,55,38
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,51,36
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,34,25
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_Ransom_in_AWS.md,30,17
/aws-samples/aws-customer-playbook-framework/tree/main,27,21
