time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-29 00:00:00+00:00,2,2,625,75
2025-01-30 00:00:00+00:00,10,5,252,82
2025-01-31 00:00:00+00:00,8,5,300,89
2025-02-01 00:00:00+00:00,6,3,487,31
2025-02-02 00:00:00+00:00,7,4,677,26
2025-02-03 00:00:00+00:00,7,5,334,82
2025-02-04 00:00:00+00:00,5,2,365,83
2025-02-05 00:00:00+00:00,8,5,230,95
2025-02-06 00:00:00+00:00,6,4,245,85
2025-02-07 00:00:00+00:00,6,4,167,55
2025-02-08 00:00:00+00:00,2,2,451,22
2025-02-09 00:00:00+00:00,10,4,721,28
2025-02-10 00:00:00+00:00,3,3,324,75
2025-02-11 00:00:00+00:00,2,2,190,56
