referrer,views_total,views_unique
Google,250,109
github.com,94,31
maturitymodel.security.aws.dev,33,13
aws.amazon.com,32,17
statics.teams.cdn.office.net,15,10
github.pfidev.jp,10,2
Bing,7,3
wire.lgcns.com,6,1
mail.google.com,5,2
quip-amazon.com,4,2
