url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,279,193
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,134,86
/aws-samples/aws-customer-playbook-framework/tree/main/docs,107,65
/aws-samples/aws-customer-playbook-framework/tree/main,47,33
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,44,35
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,34,32
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,32,23
/aws-samples/aws-customer-playbook-framework/pulls,32,12
/aws-samples/aws-customer-playbook-framework/blob/main/docs/S3_Public_Access.md,27,15
/aws-samples/aws-customer-playbook-framework/tree/main/detections,25,20
