url_path,views_total,views_unique
/aws-samples/aws-customer-playbook-framework,284,191
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Compromised_IAM_Credentials.md,109,78
/aws-samples/aws-customer-playbook-framework/tree/main/docs,106,70
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Analyzing_VPC_Flow_Logs.md,52,40
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Ransom_Response_EC2_Linux.md,52,33
/aws-samples/aws-customer-playbook-framework/blob/main/docs/EC2_Forensics.md,41,32
/aws-samples/aws-customer-playbook-framework/pulls,40,11
/aws-samples/aws-customer-playbook-framework/tree/main,38,29
/aws-samples/aws-customer-playbook-framework/issues,33,10
/aws-samples/aws-customer-playbook-framework/blob/main/docs/Responding_to_SES_Events.md,32,23
